Date,Open,High,Low,Close*,Adj Close**,Volume
2022-06-02,32763.00,32961.00,32682.00,32816.00,32816.00,31094
2022-06-01,33067.00,33254.00,32563.00,32798.00,32798.00,219698
2022-05-31,33201.00,33434.00,32722.00,32971.00,32971.00,219698
2022-05-27,32531.00,33239.00,32485.00,33158.00,33158.00,139299
2022-05-26,32074.00,32738.00,31996.00,32600.00,32600.00,153646
2022-05-25,31943.00,32215.00,31683.00,32076.00,32076.00,180970
2022-05-24,31782.00,31972.00,31315.00,31880.00,31880.00,204978
2022-05-23,31288.00,31925.00,31286.00,31839.00,31839.00,181351
2022-05-20,31209.00,31548.00,30585.00,31213.00,31213.00,217514
2022-05-19,31397.00,31524.00,30955.00,31202.00,31202.00,222586
2022-05-18,32629.00,32651.00,31299.00,31440.00,31440.00,168601
2022-05-17,32139.00,32692.00,32129.00,32581.00,32581.00,166271
2022-05-16,32148.00,32453.00,31867.00,32159.00,32159.00,167019
2022-05-13,31556.00,32201.00,31556.00,32120.00,32120.00,171076
2022-05-12,31803.00,31893.00,31148.00,31652.00,31652.00,256197
2022-05-11,32048.00,32506.00,31715.00,31743.00,31743.00,264401
2022-05-10,32206.00,32663.00,31805.00,32087.00,32087.00,239430
2022-05-09,32624.00,32690.00,32037.00,32161.00,32161.00,242482
2022-05-06,32933.00,32966.00,32376.00,32809.00,32809.00,241720
2022-05-05,33926.00,34020.00,32589.00,32910.00,32910.00,252365
2022-05-04,33041.00,34027.00,32925.00,33969.00,33969.00,188059
2022-05-03,32960.00,33254.00,32806.00,33033.00,33033.00,162760
2022-05-02,32988.00,33145.00,32358.00,32980.00,32980.00,222204
2022-04-29,33735.00,33903.00,32820.00,32882.00,32882.00,202184
2022-04-28,33308.00,33968.00,33155.00,33828.00,33828.00,211619
2022-04-27,33163.00,33611.00,33015.00,33226.00,33226.00,239696
2022-04-26,33965.00,34038.00,33081.00,33160.00,33160.00,222151
2022-04-25,33644.00,34021.00,33230.00,33965.00,33965.00,265193
2022-04-22,34696.00,34719.00,33594.00,33728.00,33728.00,234366
2022-04-21,35125.00,35413.00,34635.00,34709.00,34709.00,195639
2022-04-20,34785.00,35233.00,34728.00,35079.00,35079.00,207813
2022-04-19,34397.00,34897.00,34226.00,34841.00,34841.00,172165
2022-04-18,34369.00,34530.00,34179.00,34313.00,34313.00,138271
2022-04-14,34463.00,34794.00,34340.00,34358.00,34358.00,168122
2022-04-13,34178.00,34511.00,34052.00,34482.00,34482.00,161480
2022-04-12,34232.00,34582.00,34002.00,34139.00,34139.00,193135
2022-04-11,34636.00,34668.00,34181.00,34219.00,34219.00,159044
2022-04-08,34481.00,34820.00,34368.00,34613.00,34613.00,156893
2022-04-07,34370.00,34613.00,34093.00,34490.00,34490.00,168413
2022-04-06,34595.00,34608.00,34178.00,34399.00,34399.00,185467
2022-04-05,34802.00,35015.00,34469.00,34550.00,34550.00,152767
2022-04-04,34688.00,34849.00,34514.00,34829.00,34829.00,117196
2022-04-01,34702.00,34805.00,34437.00,34718.00,34718.00,152091
2022-03-31,35124.00,35215.00,34592.00,34618.00,34618.00,137841
2022-03-30,35154.00,35257.00,34955.00,35117.00,35117.00,121051
2022-03-29,34848.00,35281.00,34826.00,35190.00,35190.00,147281
2022-03-28,34762.00,34886.00,34445.00,34853.00,34853.00,129887
2022-03-25,34640.00,34841.00,34522.00,34759.00,34759.00,123518
2022-03-24,34252.00,34655.00,34214.00,34604.00,34604.00,123375
2022-03-23,34691.00,34792.00,34217.00,34250.00,34250.00,128190
2022-03-22,34490.00,34775.00,34318.00,34709.00,34709.00,111073
2022-03-21,34670.00,34694.00,34228.00,34436.00,34436.00,153664
2022-03-18,34335.00,34484.00,34215.00,34413.66,34413.66,152069
2022-03-17,34124.00,34491.00,33867.00,34461.00,34461.00,24152
2022-03-16,33510.00,34160.00,33388.00,34059.00,34059.00,42649
2022-03-15,32979.00,33618.00,32680.00,33532.00,33532.00,94046
2022-03-14,33012.00,33395.00,32815.00,32944.00,32944.00,111933
2022-03-11,33190.00,33691.00,32901.00,32925.00,32925.00,150209
2022-03-10,33254.00,33294.00,32799.00,33152.00,33152.00,184103
2022-03-09,32538.00,33441.00,32521.00,33265.00,33265.00,202047
2022-03-08,32716.00,33374.00,32305.00,32602.00,32602.00,286678
2022-03-07,33451.00,33542.00,32689.00,32782.00,32782.00,253270
2022-03-04,33772.00,33859.00,33210.00,33583.00,33583.00,260950
2022-03-03,33805.00,34143.00,33597.00,33738.00,33738.00,195518
2022-03-02,33318.00,33977.00,33121.00,33849.00,33849.00,239411
2022-03-01,33822.00,34065.00,33064.00,33267.00,33267.00,275407
2022-02-28,33678.00,33914.00,33322.00,33840.00,33840.00,303760
2022-02-25,33036.00,34034.00,32762.00,33994.00,33994.00,286523
2022-02-24,33052.00,33205.00,32167.00,33156.00,33156.00,438495
2022-02-23,33585.00,33824.00,33015.00,33066.00,33066.00,238843
2022-02-22,33869.00,34349.00,33292.00,33525.00,33525.00,450328
2022-02-18,34237.00,34500.00,33900.00,34007.00,34007.00,232775
2022-02-17,34842.00,34910.00,34171.00,34231.00,34231.00,209143
2022-02-16,34886.00,35060.00,34558.00,34851.00,34851.00,196641
2022-02-15,34472.00,34968.00,34345.00,34904.00,34904.00,193885
2022-02-14,34665.00,34755.00,34205.00,34471.00,34471.00,274108
2022-02-11,35128.00,35330.00,34511.00,34627.00,34627.00,319729
2022-02-10,35717.00,35750.00,34990.00,35139.00,35139.00,282693
2022-02-09,35382.00,35752.00,35370.00,35641.00,35641.00,166011
2022-02-08,35001.00,35426.00,34931.00,35342.00,35342.00,182374
2022-02-07,35002.00,35205.00,34806.00,34969.00,34969.00,174182
2022-02-04,35113.00,35212.00,34668.00,34978.00,34978.00,266481
2022-02-03,35545.00,35569.00,34941.00,34971.00,34971.00,234690
2022-02-02,35232.00,35590.00,35167.00,35492.00,35492.00,222533
2022-02-01,34915.00,35316.00,34833.00,35274.00,35274.00,209606
2022-01-31,34576.00,35026.00,34313.00,34997.00,34997.00,234760
2022-01-28,34240.00,34622.00,33613.00,34595.00,34595.00,315125
2022-01-27,34071.00,34658.00,33532.00,34043.00,34043.00,329887
2022-01-26,33969.00,34699.00,33745.00,34055.00,34055.00,319037
2022-01-25,34294.00,34472.00,33422.00,34185.00,34185.00,340838
2022-01-24,34143.00,34410.00,33031.00,34253.00,34253.00,465699
2022-01-21,34556.00,34782.00,34100.00,34157.00,34157.00,335699
2022-01-20,34953.00,35379.00,34407.00,34616.00,34616.00,272488
2022-01-19,35301.00,35430.00,34883.00,34910.00,34910.00,296130
2022-01-18,35856.00,35901.00,35135.00,35259.00,35259.00,322172
2022-01-14,36002.00,36114.00,35515.00,35796.00,35796.00,256880
2022-01-13,36179.00,36390.00,35921.00,35989.00,35989.00,217100
2022-01-12,36131.00,36332.00,36040.00,36160.00,36160.00,175020
2022-01-11,35948.00,36153.00,35641.00,36128.00,36128.00,220376
2022-01-10,36121.00,36171.00,35521.00,35952.00,35952.00,268667